Station_code,Population
100154,13067.5
100167,11527.5
100061,5559
100078,9050.5
100048,13516.5
100117,6724.5
100138,6291
100053,14729.5
100021,3597
100128,11509.5
100179,11293.5
100174,23195
100157,9523
100003,6262
100070,8973.5
100023,6305.5
100118,3577.5
100177,8245
100042,6994
100064,4874.5
100090,4982.5
100158,14731
100102,11360
100124,13206.5
100107,3618.5
100012,7192
100153,6706
100002,19527
100125,14051.5
100045,12568.5
100123,9086.5
100133,8895.5
100087,3748.5
100104,5198.5
100006,5390.5
100126,6465
100033,1414
100039,808.5
100015,7336
100129,4461.5
100147,5439
100044,10632
100083,13149.5
100036,12283
100152,6869.5
100030,3780
100092,4251
100171,6261
100069,5582.5
100031,1055.5
100054,2158
100035,5066.5
100188,6557
100051,1352.5
100109,12821.5
100140,8804
100190,8346
100131,8221
100160,5475
100082,6194
100135,11749.5
100159,6719
100017,1894.5
100057,8174.5
100076,6909
100180,5210
100072,7132
100110,4792.5
100168,1065.5
100108,5041
100032,916.5
100172,3993
100011,3208
100014,6555.5
100088,665
100113,5952.5
100077,7640.5
100101,694
100150,9088.5
100115,8715
100170,5641.5
100081,1843
100097,4091
100111,6908
100162,608.5
100139,5885
100141,7266.5
100187,4436.5
100018,4554
100066,6033.5
100163,921.5
100189,8164
100027,1431.5
100063,3427.5
100183,2188.5
100055,7796.5
100134,3681
100144,4891
100127,3207.5
100094,3996.5
100184,6038
100185,3695
100074,1251.5
100099,5966.5
100020,7651
100041,5040
100084,2046.5
100191,2423
100068,5014.5
100100,2537.5
100120,4716.5
100151,4803.5
100085,4986
100086,1199
100166,1630.5
100182,6252
100067,7114
100114,6366
100136,2270
100161,4424.5
100145,6752
100008,5113
100013,5405.5
100024,1750
100025,2092.5
100173,6203
100176,3649
100192,3935
100019,3901
100058,3016
100065,2490
100089,5411
100132,7815
100148,6539
100156,2806.5
100178,3798.5
100029,3732.5
100095,1811
100098,3995
100130,4165
100040,2878.5
100060,6198
100062,805
100079,5677.5
100146,4255.5
100165,2799
100028,5515
100091,6620
100116,3578.5
100119,6646.5
100175,4941.5
100186,3712.5
100004,2668
100016,4322
100059,986.5
100093,4396
100137,4389.5
100142,5632.5
100155,300.5
100164,3697
100005,1857.5
100022,241.5
100080,3069.5
100143,2236
100181,2006.5
100071,4229.5
100073,2748
100096,2885.5
100001,1723
100047,1817.5
100052,3203.5
100056,428.5
100106,212
100121,1087.5
100009,3230.5
100038,2305
100149,6525.5
100169,2566.5
100037,3175
100046,299.5
100112,4198
100007,2412
100010,3020
100026,408.5
100034,1524.5
100043,247
100049,367
100050,713
100075,2563.5
100103,47.5
100105,389.5
100122,2695.5
