O_station,D_station,distance,O_Station_code,D_Station_code,Total_Flow,Weekend_Flow,Weekday_Flow,Weekday_Peak_Flow,Weekday_Off_Peak_Flow
Donggu Road,Donghai Road,64444.51069,100026,100027,83,57,26,13,13
Donghai Road,Donggu Road,64444.51069,100027,100026,80,65,15,7,8
Exhibition Centre,Donggu Road,64196.72909,100037,100026,6,4,2,1,1
Donggu Road,Exhibition Centre,64196.72909,100026,100037,5,4,1,1,0
Taihu Road,Donggu Road,63744.2252,100130,100026,7,2,5,4,1
Donggu Road,Taihu Road,63744.2252,100026,100130,5,3,2,2,0
Donghai Road,North Beichen Tech Park,62991.03028,100027,100106,28,4,24,13,11
North Beichen Tech Park,Donghai Road,62991.03028,100106,100027,19,6,13,8,5
Exhibition Centre,North Beichen Tech Park,62811.75253,100037,100106,13,4,9,7,2
North Beichen Tech Park,Exhibition Centre,62811.75253,100106,100037,12,5,7,5,2
Donghai Road,Guorui Road,62588.21084,100027,100046,5,0,5,4,1
North Beichen Tech Park,Taihu Road,62397.60773,100106,100130,4,1,3,2,1
Taihu Road,North Beichen Tech Park,62397.60773,100130,100106,4,3,1,1,0
Guorui Road,Exhibition Centre,62340.42924,100046,100037,1,0,1,1,0
Civic Square,Donggu Road,62082.50748,100018,100026,18,7,11,3,8
Donggu Road,Civic Square,62082.50748,100026,100018,15,7,8,3,5
National Exhibition Centre,Donghai Road,61708.0148,100105,100027,5,3,2,1,1
Donghai Road,National Exhibition Centre,61708.0148,100027,100105,3,3,0,0,0
Exhibition Centre,National Exhibition Centre,61460.23319,100037,100105,1,0,1,0,1
South Station,Donghai Road,61248.49769,100122,100027,494,169,325,157,168
Donghai Road,South Station,61248.49769,100027,100122,389,157,232,109,123
National Exhibition Centre,Taihu Road,61007.72931,100105,100130,1,0,1,1,0
South Station,Exhibition Centre,61000.71608,100122,100037,195,58,137,51,86
Exhibition Centre,South Station,61000.71608,100037,100122,150,55,95,52,43
Danhebei Road,Donghai Road,60886.98572,100022,100027,2,0,2,0,2
North Beichen Tech Park,Civic Square,60735.89,100106,100018,22,5,17,10,7
Civic Square,North Beichen Tech Park,60735.89,100018,100106,16,5,11,4,7
Danhebei Road,Exhibition Centre,60707.70797,100022,100037,4,2,2,1,1
Exhibition Centre,Danhebei Road,60707.70797,100037,100022,1,0,1,1,0
South Station,Taihu Road,60548.2122,100122,100130,105,40,65,20,45
Taihu Road,South Station,60548.2122,100130,100122,105,39,66,33,33
Guorui Road,Civic Square,60226.20762,100046,100018,1,0,1,0,1
Donghai Road,Yangwu Zhuang,60134.74185,100027,100169,49,18,31,12,19
Yangwu Zhuang,Donghai Road,60134.74185,100169,100027,44,20,24,15,9
Civic Square,Dongli Liujing Road,59910.99342,100018,100031,1,0,1,0,1
Donggu Road,Taida,59897.82898,100026,100129,21,11,10,6,4
Taida,Donggu Road,59897.82898,100129,100026,12,5,7,3,4
Yangwu Zhuang,Exhibition Centre,59886.96025,100169,100037,10,4,6,6,0
Exhibition Centre,Yangwu Zhuang,59886.96025,100037,100169,7,4,3,3,0
Taihu Road,Yangwu Zhuang,59434.45636,100130,100169,6,1,5,2,3
Yangwu Zhuang,Taihu Road,59434.45636,100169,100130,6,2,4,2,2
Donghai Road,Liuyuan,59361.38681,100027,100091,184,73,111,64,47
Liuyuan,Donghai Road,59361.38681,100091,100027,157,66,91,42,49
National Exhibition Centre,Civic Square,59346.01158,100105,100018,1,1,0,0,0
Donghai Road,Beichen Road,59320.77021,100027,100005,58,18,40,27,13
Beichen Road,Donghai Road,59320.77021,100005,100027,53,13,40,21,19
Donghai Road,Xuefu Industrial Area,59271.47321,100027,100163,36,13,23,10,13
Xuefu Industrial Area,Donghai Road,59271.47321,100163,100027,34,15,19,13,6
Liuyuan,Exhibition Centre,59182.10905,100091,100037,58,25,33,16,17
Exhibition Centre,Liuyuan,59182.10905,100037,100091,46,19,27,12,15
Donghai Road,Gaozhuangzi,59153.32613,100027,100043,47,34,13,8,5
Gaozhuangzi,Donghai Road,59153.32613,100043,100027,44,24,20,4,16
Exhibition Centre,Beichen Road,59141.49246,100037,100005,13,3,10,2,8
Beichen Road,Exhibition Centre,59141.49246,100005,100037,9,3,6,3,3
Exhibition Centre,Xuefu Industrial Area,59023.6916,100037,100163,34,5,29,19,10
Xuefu Industrial Area,Exhibition Centre,59023.6916,100163,100037,30,6,24,23,1
Gaozhuangzi,Exhibition Centre,58905.54452,100043,100037,13,4,9,5,4
Exhibition Centre,Gaozhuangzi,58905.54452,100037,100043,11,2,9,5,4
South Station,Civic Square,58886.49447,100122,100018,626,184,442,190,252
Civic Square,South Station,58886.49447,100018,100122,438,157,281,107,174
Xiaodian,Donghai Road,58819.00026,100155,100027,24,7,17,6,11
Donghai Road,Xiaodian,58819.00026,100027,100155,18,7,11,7,4
