Station_code,weekday_population,weekend_population,company_enterprises_count,public_service_count,recreational_count,residential_facilities_count,tianjin_parking_count,street_network_density,bus_stop_count,simpson_diversity_index
100154,13692,12443,322,344,267,814,119,21.3824111,17,0.694729465
100167,11942,11113,292,300,231,752,105,22.98455983,15,0.663540135
100061,6140,4978,227,125,62,370,46,16.71060617,9,0.557505428
100078,9560,8541,179,184,125,438,64,25.04260232,10,0.677281393
100048,13854,13179,177,363,109,756,79,11.12063554,10,0.62012269
100117,7304,6145,169,230,87,490,93,16.03836485,9,0.668288237
100138,6854,5728,143,188,49,399,60,10.85837131,10,0.547256523
100053,13777,15682,140,279,280,887,88,19.10342077,27,0.62268638
100021,3532,3662,136,39,12,202,6,6.488808345,3,0.607946484
100128,10396,12623,134,152,224,910,39,16.76505157,4,0.470557798
100179,10782,11805,132,193,128,701,69,11.9234204,3,0.527526417
100174,20406,25984,121,349,365,973,91,17.43937424,15,0.629283561
100157,9605,9441,117,323,113,593,70,13.75416361,7,0.486851511
100003,6628,5896,110,126,38,307,42,8.547861879,7,0.488980529
100070,8419,9528,105,236,148,504,102,20.46771828,18,0.764388165
100023,6491,6120,104,189,89,648,85,14.94282599,7,0.580308543
100118,3458,3697,99,47,38,298,28,11.24213083,4,0.499999743
100177,8714,7776,95,173,56,396,60,17.91628783,8,0.554775469
100042,6689,7299,91,73,45,187,27,14.54818458,7,0.686744975
100064,4828,4921,91,173,101,323,84,16.35759371,15,0.698259681
100090,5126,4839,90,135,57,297,76,14.41266009,10,0.414629513
100158,14773,14689,90,352,95,719,131,14.01177507,7,0.640932167
100102,11183,11537,88,205,90,559,89,11.4932968,7,0.473759314
100124,12371,14042,88,286,131,773,84,12.28933342,4,0.284797791
100107,3650,3587,87,17,16,229,11,6.360823373,6,0.094931281
100012,7164,7220,85,178,64,313,38,10.57661317,6,0.537746867
100153,6725,6687,85,124,51,376,36,9.637507469,4,0.162595818
100002,18886,20168,82,397,89,493,106,14.98332563,8,0.617355275
100125,14260,13843,82,250,142,725,87,12.78605133,11,0.648411048
100045,10807,14330,78,282,231,747,97,14.10634733,6,0.579082214
100123,7844,10329,78,233,164,567,94,18.25135575,13,0.684829118
100133,8281,9510,74,175,173,644,66,14.81206978,7,0.509634529
100087,3675,3822,73,87,51,285,29,14.08522184,3,0.129775734
100104,5134,5263,71,63,11,219,31,9.693736202,5,0.50687928
100006,5142,5639,68,110,70,266,31,13.64398342,6,0.310386483
100126,6117,6813,68,181,247,729,27,17.45934781,6,0.491895473
100033,1586,1242,67,62,13,49,12,9.451776029,4,0.103319509
100039,800,817,67,4,2,23,1,3.367552959,3,0.2033194
100015,7295,7377,65,93,39,254,31,17.90988415,5,0.535163779
100129,4484,4439,65,59,13,86,23,15.59862063,9,0.679787489
100147,5046,5832,65,172,270,772,45,14.74124351,6,0.505873548
100044,10145,11119,64,289,70,580,66,13.09706296,12,0.401803993
100083,12256,14043,63,187,182,528,63,9.078841532,8,0.558177328
100036,11959,12607,62,278,142,591,61,16.36422758,9,0.589306547
100152,6263,7476,62,80,137,436,10,10.08150294,5,0.682926474
100030,3591,3969,59,54,25,165,24,13.47081617,14,0.72934557
100092,4585,3917,58,56,50,175,13,9.206532401,6,0.043136598
100171,6225,6297,58,144,38,403,40,10.54019394,6,0.097712782
100069,5364,5801,57,54,35,218,10,6.33114999,4,0.291163762
100031,1304,807,56,10,1,8,6,9.53841177,8,0.376680878
100054,2334,1982,56,6,1,7,4,11.11598436,5,0.543012939
100035,5147,4986,54,128,51,212,67,10.08240553,4,0.466414828
100188,6604,6510,52,170,32,327,50,12.71578323,9,0.526796822
100051,1519,1186,51,13,1,22,4,7.738757297,2,0.556267648
100109,11702,13941,51,253,94,633,59,10.55001808,9,0.564660019
100140,8980,8628,51,125,82,418,48,10.7485683,6,0.610054771
100190,8602,8090,51,271,67,577,57,13.60082141,11,0.564107206
100131,7861,8581,50,129,68,599,44,19.7236002,10,0.531013991
100160,5501,5449,50,109,41,283,33,13.12744153,4,0.30289949
100082,6356,6032,49,122,86,406,19,8.606459782,8,0.610287915
100135,11082,12417,47,94,25,390,48,20.86090237,10,0.602404036
100159,6601,6837,47,157,78,505,39,9.771790272,7,0.044310188
100017,1927,1862,46,19,16,76,23,6.856149974,4,0.548043973
100057,8240,8109,46,195,54,376,47,8.613381756,6,0.517925606
100076,6822,6996,44,209,61,467,57,14.94645653,7,0.370836346
100180,5265,5155,44,82,27,318,24,14.19851692,8,0.490617487
100072,7199,7065,41,114,40,334,36,11.65068017,6,0.308171508
100110,4827,4758,41,82,28,191,11,7.995530261,4,0.000001
100168,1094,1037,41,12,2,55,10,6.844790382,2,0.492895441
100108,5294,4788,40,126,48,286,42,11.31092632,3,0.3325727
100032,1263,570,38,14,1,15,8,9.931198409,6,0.359094602
100172,4253,3733,38,58,49,165,19,9.034260443,5,0.000001
100011,2862,3554,37,32,86,244,18,12.46945239,8,0.000001
100014,6412,6699,37,133,42,280,31,15.51444803,5,0.340506192
100088,644,686,37,2,1,9,2,2.665688996,1,0.000001
100113,6263,5642,36,155,46,352,30,9.711622137,7,0.449199456
100077,7526,7755,35,163,49,415,46,12.40387671,5,0.660761352
100101,704,684,34,6,3,32,1,3.354865706,2,0.000001
100150,9132,9045,33,196,93,479,55,12.20940408,5,0.176119276
100115,8913,8517,31,121,19,217,22,9.836740727,7,0.388060999
100170,5247,6036,31,89,37,357,33,8.776463318,5,0.000001
100081,1865,1821,30,24,20,75,9,9.186593691,2,0.470616616
100097,4248,3934,30,87,15,201,24,8.394831369,4,0.396844442
100111,7221,6595,30,168,35,262,55,10.66398124,7,0.268198849
100162,610,607,30,3,1,10,1,5.30629751,1,0.457187188
100139,5689,6081,29,77,48,313,15,18.04266698,2,0.165791052
100141,7907,6626,29,167,54,308,53,13.69090732,9,0.516348371
100187,4378,4495,29,80,13,238,16,8.801372408,3,0.258686723
100018,4863,4245,28,76,28,212,24,13.06089875,13,0.125813583
100066,5922,6145,28,132,32,219,32,9.017389629,7,0.555514687
100163,1200,643,28,4,1,4,2,5.427479194,2,0.305630188
100189,8014,8314,28,128,77,415,34,8.685494263,12,0.554485792
100027,1537,1326,27,8,5,19,5,9.994797836,10,0.555424215
100063,3269,3586,27,69,14,118,16,5.743860699,6,0.650050671
100183,2135,2242,27,23,15,72,7,3.883692658,1,0.000001
100055,7435,8158,26,185,55,589,41,10.03046335,8,0.139187659
100134,3963,3399,26,53,22,112,23,7.698856016,6,0.417442149
100144,4786,4996,26,62,54,147,21,17.42752316,4,0.003700842
100127,3151,3264,24,54,21,172,9,10.02446696,7,0.201286234
100094,3881,4112,23,78,27,220,20,8.718825989,7,0.154512156
