English_Name,Station_code,longitude,latitude
Airport Economic Zone,100001,117.334837,39.157658
Anshan Road,100002,117.187336,39.120355
Anshan West Road,100003,117.149365,39.11653
Bei Zhulin,100004,117.172772,39.160261
Beichen Road,100005,117.173656,39.240641
Beining Park,100006,117.223159,39.166274
Beiyangyuan Campus of Tianjin University,100007,117.308574,38.992667
Benxi Road,100008,117.139463,39.185432
Bianxing,100009,117.109285,39.14623
Binhai International Airport,100010,117.362628,39.132116
Cao Zhuang,100011,117.090954,39.1457
Changhong Park,100012,117.149444,39.137806
Changling Road,100013,117.184695,39.056723
Chenglin Road,100014,117.245852,39.130318
Chentang Zhuang,100015,117.248489,39.083497
Chinese Medicine First Affiliated Hospital,100016,117.184757,39.046782
Chunhai Road,100017,117.243057,39.06296
Civic Square,100018,117.70306,39.018183
Cuifu New Village,100019,117.257615,39.144
Cultural centre,100020,117.208788,39.088534
Dabi Zhuang,100021,117.278558,39.203029
Danhebei Road,100022,117.163651,39.252431
Dawang Zhuang,100023,117.218471,39.127225
Dengzhou Road,100024,117.295916,39.150497
Dengzhou South Road,100025,117.305429,39.116534
Donggu Road,100026,117.408398,39.012409
Donghai Road,100027,117.737288,39.040571
Dongjiang Road,100028,117.261312,39.06797
Dongli Culture and Sports Centre,100029,117.328449,39.080739
Dongli Development Zone,100030,117.357421,39.079404
Dongli Liujing Road,100031,117.375295,39.065608
Dongli Sanjing Road,100032,117.358671,39.070557
Dongli Yijing Road,100033,117.350139,39.073339
Dongting Road,100034,117.245877,39.04359
Dongxing Road,100035,117.24257,39.103422
Erwei Road,100036,117.174737,39.130318
Exhibition Centre,100037,117.731698,39.029989
Fangshan Road,100038,117.289429,39.11014
Fengchan River,100039,117.23602,39.23816
Foreign Languages High School,100040,117.191876,39.171286
Fuxing Gate,100041,117.260182,39.077205
Fuxing Road,100042,117.158413,39.155769
Gaozhuangzi,100043,117.360797,39.043101
Guangkaisima Road,100044,117.161743,39.137653
Gulou,100045,117.181228,39.137127
Guorui Road,100046,117.390747,39.021933
Guoshan Road,100047,117.30979,39.154093
Haiguang Temple,100048,117.177534,39.122349
Haihe East Road,100049,117.277766,39.081442
Haihe Education Zone,100050,117.322181,38.988951
Hangshuang Road,100051,117.333949,39.111105
Hehui South Road,100052,117.360346,38.981306
Heping Road,100053,117.204654,39.126896
High-Tech Zone,100054,117.098616,39.071883
Honghu Li,100055,117.161912,39.170889
Hongni River East,100056,117.344655,39.047712
Hongqi South Road,100057,117.148149,39.092757
Huaihe Road,100058,117.192484,39.218578
Huanyu Road,100059,117.285842,39.084306
Huashan Li,100060,117.261895,39.06616
Huayuan,100061,117.12876,39.087165
Hujiayuan,100062,117.607373,39.040524
Jianchang Road,100063,117.234644,39.179628
Jianguo Road,100064,117.200889,39.139008
Jiangwan Erzhi Road,100065,117.205862,39.063799
Jianshan Road,100066,117.224,39.087236
Jiayuan Li,100067,117.128158,39.191974
Jiefang South Road,100068,117.234015,39.040749
Jieyuan West Road,100069,117.119664,39.142668
Jin Street,100070,117.191892,39.132158
Jinghe Road,100071,117.284396,39.019468
Jingjiang Road,100072,117.244216,39.142967
Jingli Road,100073,117.289639,39.011383
Jinmao Industrial Area,100074,117.287682,39.102815
Jinnan Campus of Nankai University,100075,117.341326,38.982843
Jinshi Bridge,100076,117.207758,39.151064
Jintang Road,100077,117.241396,39.116533
Jinwan Square,100078,117.207555,39.131898
JinZhong River Street,100079,117.24237,39.171703
JinZhong Street,100080,117.265336,39.199695
Junliangcheng,100081,117.456102,39.048049
Laoshan Road,100082,117.283592,39.1387
Leyuan Road,100083,117.217504,39.091252
